"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"XGCHF1",1371,1485.890625,22.9342181897485,1457.49287903952,18.5181690153375,6.25555458603942,0.995281605440917,211.936493965935,314.13020210394,0.866024992406024,0.992944458117975
"XGCHF3",1374,1482.69047619048,22.092919123488,1455.86589600608,18.5917750631312,6.32251250281575,0.995918644571668,245.016641544657,315.018886459243,0.875029923837195,0.993190581671999
"XGCHF4",1515,1638.78658536585,22.8383216505162,1622.20130983314,19.4191130964238,6.3769519519762,0.996093751919317,256.00012578443,357.599278916022,0.870791109150465,0.991713840347855
"XGCSF1",1381,1495.07407407407,22.5208874656123,1473.86418341882,18.7232768247633,6.3053580618142,0.995872602835367,242.283444047719,317.095301042447,0.87204245755618,0.992780375748626
"XGCSF2",1380,1483.96062992126,21.3366372649578,1459.28040208771,18.5653761314133,6.31602202646288,0.995860625455096,241.582391047718,316.798428973778,0.87360482304945,0.993313643449011
"XGCSF3",1387,1498.35658914729,22.3659718629723,1469.74112410137,18.5753776604272,6.297783205428,0.995731950227594,234.299048353484,318.878222270145,0.870472927131152,0.99302649930265
"XGMEF1",1509,1651.94011976048,25.2873782823437,1633.86675213736,19.6127889954693,6.37289674560819,0.996104224975626,256.688333834368,355.755140300018,0.870709176513343,0.99101649027812
"XGMEF2",1496,1648.6,27.0391838300864,1616.97123158701,19.4471655372242,6.36291715849204,0.996092385575853,255.91061232153,351.769278346133,0.870374598423881,0.991057510870457
"XGMEF3",1497,1612.6976744186,21.4973388428686,1604.33279082112,19.295406955194,6.36938296654954,0.996251891031134,266.801207837475,352.075408040637,0.871179416569315,0.991795881532529
"YSCHF1",474,501.717948717949,10.6641497058574,505.491752041581,10.679270662324,4.97638297192938,0.984695596950109,65.3406733173498,83.4400569840658,0.807696075151756,0.998072032160144
"YSCHF4",542,654.69014084507,26.3091808685443,638.830197652164,12.1524873409726,3.41719095719435,0.889413504202459,9.04269542847954,98.2195103750565,0.54281915274317,0.994790384773156
"YSCHF5",970,1180.76630434783,33.0159234455325,1203.80805842525,16.5346998197483,2.10686303668045,0.441696916198474,1.79114181707707,202.029667831058,0.306350492225022,0.988555254737878
"YSCSF1",1358,1537.70833333333,31.1688746877395,1506.55464623183,19.0466325442511,6.17107651879831,0.99461775097833,185.795936972425,310.287618982008,0.855458098349673,0.990647304947083
"YSCSF3",1265,1413.29787234043,27.0995617673758,1399.25946020752,18.3615654496066,6.06957239205733,0.994271904543665,174.578096266537,283.197956473581,0.84974367308249,0.991590778570843
"YSCSF5",1210,1403.87704918033,34.5300432096693,1360.79245551788,18.1697372809592,5.96554789663204,0.993281120436102,148.834339191503,267.510204317409,0.840410285446144,0.991057510870457
"YSMEF1",1558,1804.12,37.646354537127,1762.76844650022,20.5419083649523,6.39955349322182,0.996200181998296,263.170499100604,370.898767429086,0.870550367180585,0.987939945852818
"YSMEF3",1404,1565.27142857143,28.9213688413434,1525.94453754654,18.8989039328583,6.25357718974495,0.995597173569794,227.126827698543,323.945536171778,0.862909845799984,0.991262613832144
"YSMEF4",1419,1566.0223880597,27.2728425938213,1525.96825771651,18.8729179197674,6.28303629002976,0.995520264586556,223.227469416824,328.435938863859,0.865705339690441,0.991836902124867
