"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU386","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU39863","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU4004","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU43223","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU4380","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU557","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU710","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU828","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU954","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU955","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Nitrosomonadaceae","g__MND1","s__"
"OTU1280","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU140","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU141","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU1510","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU1585","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU1703","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU2388","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__Gemmatimonadetes_bacterium_Ellin7146"
"OTU240","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU315","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU3526","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU368","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU539","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU556","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU584","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU604","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU654","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU771","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU814","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__Gemmatimonadaceae_bacterium_LWQ133"
"OTU850","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU901","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU941","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__"
"OTU14861","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU30228","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU35138","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU35538","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU50","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU554","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU8856","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__"
"OTU110","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU148","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU1718","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU177","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU20038","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU25604","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU2846","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU3109","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus_alkalitelluris"
"OTU31528","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU32305","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU33661","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU340","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU43244","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU579","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU631","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU707","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus_endophyticus"
"OTU889","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus_cohnii"
"OTU1011","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1018","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1036","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1037","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1086","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1342","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1547","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1575","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU212","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU21759","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU2216","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU228","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU279","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU33325","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU4465","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU615","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU699","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU742","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU839","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU851","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU852","k__Bacteria","p__Gemmatimonadetes","c__S0134_terrestrial_group","o__","f__","g__","s__"
"OTU1015","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1078","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1137","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU12077","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1261","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1271","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1312","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU13840","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1634","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1713","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1736","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1792","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU1987","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU21185","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU2243","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU227","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU23767","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU24018","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU27796","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU2856","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU303","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU3043","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU3286","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU34624","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU36377","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU3680","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU373","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU3893","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU425","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU453","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU518","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU644","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__myxobacterium_AT3-03"
"OTU816","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU859","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__"
"OTU11","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__","s__"
